level_0,molregno,stand_type,pchembl_value,stand_value,canonical_smiles,stand_inchi,chembl_id,tid,pref_name,index,scaffolds_murcko,scaffolds_generic,scaffolds_csk
28,1792224,IC50,7.095,100.0,Cc1nn(Cc2ccccc2)c(-c2ccc(F)cc2)c1-c1ccc2c(c1)NC(=O)CO2,YBDHLGOMHTXGJP-UHFFFAOYSA-N,CHEMBL3337731,48,Mineralocorticoid receptor ,1,O=C1COc2ccc(-c3cnn(Cc4ccccc4)c3-c3ccccc3)cc2N1,CC1CCC(C2C(CC3CCCCC3)CC(C)C2C2CCC3CCC(C)CC3C2)CC1,C1CCC(CC2CCC(C3CCC4CCCCC4C3)C2C2CCCCC2)CC1
29,1748738,IC50,7.67,21.4,Cc1nc(N2N=C(c3ccc(C(=O)O)cc3)C[C@@H]2C2CCCC2)ccc1C#N,RJQJDEABEOFARD-HXUWFJFHSA-N,CHEMBL3263756,48,Mineralocorticoid receptor ,1,c1ccc(C2=NN(c3ccccn3)C(C3CCCC3)C2)cc1,CCC1CCC(C2CC(C3CCC(C(C)C)CC3)CC2C2CCCC2)CC1C,C1CCC(C2CC(C3CCCCC3)C(C3CCCC3)C2)CC1
30,1976420,IC50,7.0,100.0,NC(=O)Nc1cc(CCc2ccc(C(F)(F)F)cc2)ccn1,SKMSEHMSEFDKRY-UHFFFAOYSA-N,CHEMBL3643689,48,Mineralocorticoid receptor ,1,c1ccc(CCc2ccncc2)cc1,CC(C)CC1CCCC(CCC2CCC(C(C)(C)C)CC2)C1,C1CCC(CCC2CCCCC2)CC1
31,686989,IC50,7.58,26.0,N#Cc1ccc(N2N=C(c3ccc(C(=O)O)c(Cl)c3)C[C@@H]2C2CCCC2)cc1Cl,XVLOITGFQRFPGI-OAQYLSRUSA-N,CHEMBL1215129,48,Mineralocorticoid receptor ,1,c1ccc(C2=NN(c3ccccc3)C(C3CCCC3)C2)cc1,CCC1CCC(C2CC(C3CCC(C(C)C)C(C)C3)CC2C2CCCC2)CC1C,C1CCC(C2CC(C3CCCCC3)C(C3CCCC3)C2)CC1
32,686698,IC50,7.25,56.0,Cc1cc(N2N=C(c3ccc(C(=O)O)cc3)CC2c2ccc(F)cc2)ccc1C#N,YQJHZNMWSIDPHD-UHFFFAOYSA-N,CHEMBL1214841,48,Mineralocorticoid receptor ,1,c1ccc(C2=NN(c3ccccc3)C(c3ccccc3)C2)cc1,CCC1CCC(C2CC(C3CCC(C(C)C)CC3)CC2C2CCC(C)CC2)CC1C,C1CCC(C2CC(C3CCCCC3)C(C3CCCCC3)C2)CC1
33,687272,IC50,7.82,15.0,N#Cc1ccc(N2N=C3c4ccc(C(=O)O)cc4CC[C@@H]3[C@@H]2C2CC=CC2)cc1Cl,YCKDTVBNNCDGQE-REWPJTCUSA-N,CHEMBL1215409,48,Mineralocorticoid receptor ,1,C1=CCC(C2C3CCc4ccccc4C3=NN2c2ccccc2)C1,CCC1CCC(C2CC3C4CCC(C(C)C)CC4CCC3C2C2CCCC2)CC1C,C1CCC(C2CC3C4CCCCC4CCC3C2C2CCCC2)CC1
34,1748736,IC50,8.12,7.6,COc1nc(C2=NN(c3ccc(C#N)c(C)n3)[C@@H](C3CCCC3)C2)ccc1C(=O)O,OQPWNIVCEUVXQA-LJQANCHMSA-N,CHEMBL3263754,48,Mineralocorticoid receptor ,1,c1ccc(C2=NN(c3ccccn3)C(C3CCCC3)C2)nc1,CCC1CCC(C2CC(C3CCC(C(C)C)C(CC)C3)CC2C2CCCC2)CC1C,C1CCC(C2CC(C3CCCCC3)C(C3CCCC3)C2)CC1
35,1976418,IC50,7.43,37.0,NC(=O)Nc1cc(CCc2ccccc2)ccn1,IUJDPFDOZKFDED-UHFFFAOYSA-N,CHEMBL3643687,48,Mineralocorticoid receptor ,1,c1ccc(CCc2ccncc2)cc1,CC(C)CC1CCCC(CCC2CCCCC2)C1,C1CCC(CCC2CCCCC2)CC1
36,2025569,IC50,7.77,17.0,C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34C=CCO4)[C@@H]21,QLCLQHCJXWSVTF-JGUZPDMNSA-N,CHEMBL3692347,48,Mineralocorticoid receptor ,1,O=C1C=C2CCC3C(CCC4C3CCC43C=CCO3)C2CC1,CC1CCC2C(C1)CC(C)C1C2CCC2(C)C1CCC21CCCC1,C1CCC2C(C1)CCC1C2CCC2C1CCC21CCCC1
37,1946609,IC50,7.14,72.0,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc3c(F)cccc3[nH]2)C1=O,BAYFJYAJPBOMET-SGANQWHYSA-N,CHEMBL3578291,48,Mineralocorticoid receptor ,1,O=C1OC(Cc2ccccc2)(c2nc3ccccc3[nH]2)C(=O)N1Cc1ccccc1,CC1CCC(C(C)C2C(C)CC(CC3CCCCC3)(C3CC4CCCC(C)C4C3)C2C)CC1,C1CCC(CC2CCC(CC3CCCCC3)(C3CC4CCCCC4C3)C2)CC1
38,1442757,IC50,7.596666666666666,16.0,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,BTBHLEZXCOBLCY-QGZVFWFLSA-N,CHEMBL2181927,48,Mineralocorticoid receptor ,1,C1=CC(c2ccccc2)c2cnccc2N1,CCCC1CCC(C)C2CC(C)C(C(C)C)C(C3CCC(CC)CC3CC)C12,C1CCC(C2CCCC3CCCCC32)CC1
39,687557,IC50,7.24,58.0,N#Cc1ccc(N2N=C(c3ccc4[nH]c(=O)oc4c3)CC2c2ccc(F)cc2)cc1,FXUCYRRIEXLTRF-UHFFFAOYSA-N,CHEMBL1215690,48,Mineralocorticoid receptor ,1,O=c1[nH]c2ccc(C3=NN(c4ccccc4)C(c4ccccc4)C3)cc2o1,CCC1CCC(C2CC(C3CCC4CC(C)CC4C3)CC2C2CCC(C)CC2)CC1,C1CCC(C2CC(C3CCC4CCCC4C3)CC2C2CCCCC2)CC1
40,1270009,IC50,7.1,80.0,Cc1ccccc1-n1nc(C(F)(F)F)cc1-c1ccc2c(c1)NC(=O)CO2,CMFFEQLOOLNLFE-UHFFFAOYSA-N,CHEMBL1929036,48,Mineralocorticoid receptor ,1,O=C1COc2ccc(-c3ccnn3-c3ccccc3)cc2N1,CC1CCC2CCC(C3CC(C(C)(C)C)CC3C3CCCCC3C)CC2C1,C1CCC(C2CCCC2C2CCC3CCCCC3C2)CC1
41,1607827,IC50,7.05,90.0,Cc1cc(C)c(S(=O)(=O)NC(Cc2c[nH]c3ccc(C)cc23)C(F)(F)F)c(C)c1,UDQPQRQPOLSCKG-UHFFFAOYSA-N,CHEMBL3093446,48,Mineralocorticoid receptor ,1,O=S(=O)(NCCc1c[nH]c2ccccc12)c1ccccc1,CC1CC(C)C(C(C)(C)CC(CC2CCC3CCC(C)CC32)C(C)(C)C)C(C)C1,C1CCC(CCCCC2CCC3CCCCC23)CC1
42,1792317,IC50,7.505,22.0,CCCCn1nc(C)c(-c2ccc3c(c2)NC(=O)CO3)c1-c1ccc(F)cc1,FQMFTUCSUZPVDH-UHFFFAOYSA-N,CHEMBL3337823,48,Mineralocorticoid receptor ,1,O=C1COc2ccc(-c3cn[nH]c3-c3ccccc3)cc2N1,CCCCC1CC(C)C(C2CCC3CCC(C)CC3C2)C1C1CCC(C)CC1,C1CCC(C2CCCC2C2CCC3CCCCC3C2)CC1
43,1976388,IC50,7.85,14.0,Cc1ccc(-n2nccc2-c2ccnc(NC(N)=O)c2)cc1,FEAWMYRPBWYWEY-UHFFFAOYSA-N,CHEMBL3643658,48,Mineralocorticoid receptor ,1,c1ccc(-n2nccc2-c2ccncc2)cc1,CC(C)CC1CCCC(C2CCCC2C2CCC(C)CC2)C1,C1CCC(C2CCCC2C2CCCCC2)CC1
44,1270012,IC50,7.38,41.0,Cc1cc(F)ccc1-n1nc(C(F)(F)F)cc1-c1ccc2c(c1)NC(=O)CO2,KLPDOSFCNONAFF-UHFFFAOYSA-N,CHEMBL1929039,48,Mineralocorticoid receptor ,1,O=C1COc2ccc(-c3ccnn3-c3ccccc3)cc2N1,CC1CCC(C2CC(C(C)(C)C)CC2C2CCC3CCC(C)CC3C2)C(C)C1,C1CCC(C2CCCC2C2CCC3CCCCC3C2)CC1
45,2242619,IC50,8.89,1.3,CC(=O)Oc1ccc(CCc2cc(C)c3c(c2)NC(=O)CO3)c(C)c1,ZOXMWKBCAIIICP-UHFFFAOYSA-N,CHEMBL4102708,48,Mineralocorticoid receptor ,1,O=C1COc2ccc(CCc3ccccc3)cc2N1,CC(C)CC1CCC(CCC2CC(C)C3CCC(C)CC3C2)C(C)C1,C1CCC(CCC2CCC3CCCCC3C2)CC1
46,2239187,IC50,7.68,21.0,C[C@H](CN1CCOCC1)n1/c(=N\C#N)[nH]c2cc(/C=C3\c4ccccc4COc4cc(F)ccc43)ccc21,WGQWOKFBEZMDRZ-RAQUAXEKSA-N,CHEMBL4099276,48,Mineralocorticoid receptor ,1,N=c1[nH]c2cc(C=C3c4ccccc4COc4ccccc43)ccc2n1CCN1CCOCC1,CCCC1CC2CC(CC3C4CCCCC4CCC4CC(C)CCC43)CCC2C1C(C)CC1CCCCC1,C1CCC(CCC2CCC3CC(CC4C5CCCCC5CCC5CCCCC54)CCC23)CC1
47,1607838,IC50,7.0,100.0,Cc1cc(C)c(S(=O)(=O)NC(Cn2ccc3c(C#N)cccc32)C(F)(F)F)c(C)c1,DUZBBWARHFOMBJ-UHFFFAOYSA-N,CHEMBL3093457,48,Mineralocorticoid receptor ,1,O=S(=O)(NCCn1ccc2ccccc21)c1ccccc1,CCC1CCCC2C(CC(CC(C)(C)C3C(C)CC(C)CC3C)C(C)(C)C)CCC12,C1CCC(CCCCC2CCC3CCCCC23)CC1
48,687623,IC50,7.08,83.0,CN(C)CCN(C)C(=O)c1ccc(C2=NN(c3ccc(C#N)cc3)C(c3ccc(F)cc3)C2)cc1,HKUKEMRCCWWBFD-UHFFFAOYSA-N,CHEMBL1215755,48,Mineralocorticoid receptor ,1,c1ccc(C2=NN(c3ccccc3)C(c3ccccc3)C2)cc1,CCC1CCC(C2CC(C3CCC(C(C)C(C)CCC(C)C)CC3)CC2C2CCC(C)CC2)CC1,C1CCC(C2CC(C3CCCCC3)C(C3CCCCC3)C2)CC1
49,1607823,IC50,7.1,80.0,O=S(=O)(NC(Cc1c[nH]c2ccccc12)C(F)(F)F)c1c(Cl)cc(Cl)cc1Cl,XYFAXIKXGILQET-UHFFFAOYSA-N,CHEMBL3093442,48,Mineralocorticoid receptor ,1,O=S(=O)(NCCc1c[nH]c2ccccc12)c1ccccc1,CC1CC(C)C(C(C)(C)CC(CC2CCC3CCCCC32)C(C)(C)C)C(C)C1,C1CCC(CCCCC2CCC3CCCCC23)CC1
50,1572051,IC50,7.85,14.0,COc1cc(CNC(=O)[C@@]2(Cc3ccccc3)OC(=O)N([C@H](C)C3CCCCC3)C2=O)cc(OC)c1,UQMXAKQCHCETLA-WHLCRQNOSA-N,CHEMBL2407646,48,Mineralocorticoid receptor ,1,O=C1OC(Cc2ccccc2)(C(=O)NCc2ccccc2)C(=O)N1CC1CCCCC1,CCC1CC(CC)CC(CCC(C)C2(CC3CCCCC3)CC(C)C(C(C)C3CCCCC3)C2C)C1,C1CCC(CCCC2(CC3CCCCC3)CCC(CC3CCCCC3)C2)CC1
51,2448651,IC50,7.19,64.0,CC[C@](CO)(c1ccc(Cl)cc1)n1ncc2c(NS(C)(=O)=O)cccc21,MFVGPPNQHPWGHH-SFHVURJKSA-N,CHEMBL4578220,48,Mineralocorticoid receptor ,1,c1ccc(Cn2ncc3ccccc32)cc1,CCC(CC)(C1CCC(C)CC1)C1CCC2C(CC(C)(C)C)CCCC21,C1CCC(CC2CCC3CCCCC32)CC1
52,1748750,IC50,8.66,2.2,COc1nc(C2=NN(c3ccc(C#N)c(C)c3)[C@@H](C3CCCC3)C2)ccc1C(=O)Nc1nnn[nH]1,DEFYZGCPPXOTTL-OAQYLSRUSA-N,CHEMBL3263768,48,Mineralocorticoid receptor ,1,O=C(Nc1nnn[nH]1)c1ccc(C2=NN(c3ccccc3)C(C3CCCC3)C2)nc1,CCC1CCC(C2CC(C3CCC(C(C)CC4CCCC4)C(CC)C3)CC2C2CCCC2)CC1C,C1CCC(C2CC(C3CCC(CCC4CCCC4)CC3)CC2C2CCCC2)CC1
53,1603476,IC50,7.4,40.0,Cc1noc(C)c1S(=O)(=O)NCc1ccc(-c2cccc(C#N)c2)cc1,VFQZKSKRYNSNAS-UHFFFAOYSA-N,CHEMBL3086013,48,Mineralocorticoid receptor ,1,O=S(=O)(NCc1ccc(-c2ccccc2)cc1)c1cnoc1,CCC1CCCC(C2CCC(CCC(C)(C)C3C(C)CCC3C)CC2)C1,C1CCC(C2CCC(CCCC3CCCC3)CC2)CC1
54,703276,IC50,7.24,58.0,COc1ccc(F)cc1C(C)(C)C[C@@](O)(Cc1cc2cnccc2[nH]1)C(F)(F)F,HKLWSBIHHHYTLH-FQEVSTJZSA-N,CHEMBL1253819,48,Mineralocorticoid receptor ,1,c1ccc(CCCCc2cc3cnccc3[nH]2)cc1,CCC1CCC(C)CC1C(C)(C)CC(C)(CC1CC2CCCCC2C1)C(C)(C)C,C1CCC(CCCCC2CC3CCCCC3C2)CC1
55,1946606,IC50,7.44,36.0,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc3cc(-c4ccncc4)ccc3[nH]2)C1=O,PPZLMSZTCXPSKK-HZAQMHFWSA-N,CHEMBL3578288,48,Mineralocorticoid receptor ,1,O=C1OC(Cc2ccccc2)(c2nc3cc(-c4ccncc4)ccc3[nH]2)C(=O)N1Cc1ccccc1,CC1CCC(C(C)C2C(C)CC(CC3CCCCC3)(C3CC4CCC(C5CCCCC5)CC4C3)C2C)CC1,C1CCC(CC2CCC(CC3CCCCC3)(C3CC4CCC(C5CCCCC5)CC4C3)C2)CC1
56,2125131,IC50,7.406666666666665,58.0,CNC(=O)CC1COc2cc(Cl)ccc2N1C(=O)c1ccc2c(c1)NC(=O)CO2,PLOQCPGEMKIJBX-UHFFFAOYSA-N,CHEMBL3915760,48,Mineralocorticoid receptor ,1,O=C1COc2ccc(C(=O)N3CCOc4ccccc43)cc2N1,CCC(C)CC1CCC2CC(C)CCC2C1C(C)C1CCC2CCC(C)CC2C1,C1CCC2CC(CC3CCCC4CCCCC43)CCC2C1
